Date,Content,Comment
2021-11-14,,<i>mother! </i>is much better
2022-03-15,,I’ve seen 82% of this list
2022-04-16,,"I confirmed that img tags don’t work on Letterboxd 😢

<img src=“<a href=""https://media0.giphy.com/media/45dPIIr6R1QBmhRUqF/giphy.gif?cid=5e214886oba9pj112v2pnm0xbljpg9nr0shhq3012cydjhi1&rid=giphy.gif&ct=g"" rel=""nofollow"">media0.giphy.com/media/45dPIIr6R1QBmhRUqF/giphy.gif?cid=5e214886oba9pj112v2pnm0xbljpg9nr0shhq3012cydjhi1&rid=giphy.gif&ct=g</a>”>"
2022-10-15,,LFG!!!
2023-01-02,,leather
