Date,Name,Year,Letterboxd URI,Rating
2020-05-12,The Invitation,2015,https://boxd.it/9OUU,2.5
2020-05-17,Under the Skin,2013,https://boxd.it/3mDa,2
2020-05-17,The Ritual,2017,https://boxd.it/fo0I,1
2020-05-18,The Fifth Estate,2013,https://boxd.it/54Pc,2.5
2020-06-01,The Florida Project,2017,https://boxd.it/dMG0,2.5
2020-06-04,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4.5
2020-06-05,BlacKkKlansman,2018,https://boxd.it/hxL8,4
2020-06-05,The Other Guys,2010,https://boxd.it/1rtq,2
2020-06-06,The Last Black Man in San Francisco,2019,https://boxd.it/iWAw,5
2020-06-22,Mommie Dearest,1981,https://boxd.it/1LNq,3.5
2020-07-22,Millennium Actress,2001,https://boxd.it/1fK0,4.5
2020-07-23,Maniac,2018,https://boxd.it/jX9y,4
2020-07-27,Ghosts of Mississippi,1996,https://boxd.it/1i92,4
2020-08-07,Relic,2020,https://boxd.it/jEwS,2.5
2020-08-08,Life,2015,https://boxd.it/9wym,4
2020-08-26,Unhinged,2020,https://boxd.it/najM,2
2020-09-06,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ,3.5
2020-09-10,#Alive,2020,https://boxd.it/mJl2,2.5
2020-09-16,The Social Dilemma,2020,https://boxd.it/opQI,3
2020-09-17,The Devil All the Time,2020,https://boxd.it/i2tY,3.5
2020-09-26,Good Time,2017,https://boxd.it/fcFu,4
2020-09-28,Safety Not Guaranteed,2012,https://boxd.it/2Y3M,2
2020-10-05,The Boys in the Band,2020,https://boxd.it/m176,3
2020-10-17,The Trial of the Chicago 7,2020,https://boxd.it/kn3w,4
2020-10-21,Hard Candy,2005,https://boxd.it/26vs,3
2020-10-23,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ,2
2020-10-24,The Shining,1980,https://boxd.it/29Nu,5
