Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-10-20,Midsommar,2019,https://boxd.it/1pK3NP,5,Yes,,2020-10-20
2020-10-21,Annihilation,2018,https://boxd.it/1pMKW5,3.5,Yes,,2020-10-20
2020-10-21,Hard Candy,2005,https://boxd.it/1pMLmx,3,Yes,,2020-10-20
2020-10-21,Get Out,2017,https://boxd.it/1pPgQd,4.5,Yes,,2020-10-20
2020-10-23,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/1q1R6P,2,,,2020-10-22
2020-10-24,The Shining,1980,https://boxd.it/1q721L,5,,,2020-10-23
2020-10-26,The Haunting of Bly Manor,2020,https://boxd.it/1qqjkj,4,,,2020-10-25
2020-10-28,"Yes, God, Yes",2019,https://boxd.it/1qF1df,3.5,,,2020-10-26
2020-10-30,The Disaster Artist,2017,https://boxd.it/1qPzK3,2.5,,,2020-10-29
2020-10-30,Unorthodox,2020,https://boxd.it/1qRObB,4,,,2020-10-29
2020-10-31,Black Mirror: The Entire History of You,2011,https://boxd.it/1qVQMx,5,,,2020-10-30
2020-11-03,The Trial of the Chicago 7,2020,https://boxd.it/1rmZtt,4,Yes,,2020-11-01
2020-11-04,An American Pickle,2020,https://boxd.it/1rvhTl,5,,,2020-11-03
2020-11-05,Midsommar,2019,https://boxd.it/1rAegZ,5,Yes,,2020-11-04
2020-11-11,Boys State,2020,https://boxd.it/1saJEP,4,Yes,"jxnfilmclub, merry",2020-11-10
2020-11-12,Enola Holmes,2020,https://boxd.it/1sgEcD,2,,,2020-11-11
2020-11-14,Midsommar,2019,https://boxd.it/1srMPv,5,Yes,,2020-11-13
2020-11-15,"Best Wishes, Warmest Regards: A Schitt's Creek Farewell",2020,https://boxd.it/1syvi9,4,,,2020-11-14
2020-11-15,My Neighbor Totoro,1988,https://boxd.it/1syPsD,4.5,,,2020-11-14
2020-11-16,Baby Driver,2017,https://boxd.it/1sCvrX,3.5,,,2020-11-15
2020-11-16,Call Me by Your Name,2017,https://boxd.it/1sEyk5,4.5,Yes,,2020-11-15
2020-11-16,Suspiria,2018,https://boxd.it/1sFg6L,3.5,,,2020-11-15
2020-11-17,Primer,2004,https://boxd.it/1sLMEd,3,Yes,,2020-11-16
2020-11-18,Office Space,1999,https://boxd.it/1sRwmf,3,,,2020-11-17
2020-11-18,Beyond the Black Rainbow,2010,https://boxd.it/1sRwGJ,3.5,,,2020-11-17
2020-11-19,Locke,2013,https://boxd.it/1sWQE9,3,,,2020-11-18
2020-11-21,If Anything Happens I Love You,2020,https://boxd.it/1t5coj,4,,,2020-11-20
2020-11-21,Hunt for the Wilderpeople,2016,https://boxd.it/1t85RJ,3.5,,,2020-11-20
2020-11-27,The Christmas Chronicles,2018,https://boxd.it/1tLDvP,2,,,2020-11-26
2020-12-06,Mank,2020,https://boxd.it/1uOD37,4,,,2020-12-05
2020-12-07,Snowden,2016,https://boxd.it/1uWCqb,2,,,2020-12-06
2020-12-07,Coherence,2013,https://boxd.it/1uZcoz,3.5,Yes,,2020-12-06
2020-12-11,I Am Not Your Negro,2016,https://boxd.it/1vnGqD,4,,,2020-12-10
2020-12-14,Persona,1966,https://boxd.it/1vJ9t9,5,,,2020-12-13
2020-12-16,Hereditary,2018,https://boxd.it/1vXaQV,4,Yes,"jxnfilmclub, merry",2020-12-15
2020-12-22,Lion,2016,https://boxd.it/1wB9Z3,3.5,,,2020-12-21
2020-12-22,Midsommar,2019,https://boxd.it/1wEBi3,5,Yes,,2020-12-21
2020-12-25,Ma Rainey's Black Bottom,2020,https://boxd.it/1wZXER,4.5,,,2020-12-24
2020-12-26,Devs,2020,https://boxd.it/1xgtRl,5,Yes,,2020-12-26
2020-12-28,Death to 2020,2020,https://boxd.it/1xz8w5,3,,,2020-12-27
2020-12-28,An American Pickle,2020,https://boxd.it/1xBp89,5,Yes,shelby,2020-12-27
2020-12-31,Free Solo,2018,https://boxd.it/1y8nvL,3.5,,,2020-12-30
2021-01-01,Mandy,2018,https://boxd.it/1ygmAV,4,Yes,,2020-12-31
2021-01-02,1BR,2019,https://boxd.it/1yv5BR,3,,,2021-01-01
2021-01-03,Upgrade,2018,https://boxd.it/1yJt3n,4,,,2021-01-02
2021-01-06,Hereditary,2018,https://boxd.it/1zg5Yv,4,Yes,shelby,2021-01-05
2021-01-06,Spirited Away,2001,https://boxd.it/1zggmH,5,Yes,,2021-01-05
2021-01-08,The Peanut Butter Falcon,2019,https://boxd.it/1zrukR,4,,,2021-01-07
2021-01-08,Knock Knock,2015,https://boxd.it/1zsS09,0.5,,,2021-01-07
2021-01-08,The Cabin in the Woods,2011,https://boxd.it/1zwA4b,4,,,2021-01-07
2021-01-10,Dick Johnson Is Dead,2020,https://boxd.it/1zPl23,4.5,,,2021-01-09
2021-01-11,Thunder Road,2018,https://boxd.it/1zVlrJ,5,,,2021-01-10
2021-01-11,Possessor,2020,https://boxd.it/1zYO67,4,,,2021-01-10
2021-01-11,Midsommar,2019,https://boxd.it/1A1brL,5,Yes,,2021-01-10
2021-01-12,The Pixar Story,2007,https://boxd.it/1A5p1b,3.5,,,2021-01-11
2021-01-12,Soul,2020,https://boxd.it/1Aa7CN,4,,,2021-01-11
2021-01-13,Good Burger,1997,https://boxd.it/1AgTSr,3,Yes,,2021-01-12
2021-01-14,Whiplash,2014,https://boxd.it/1AtA9j,4,Yes,jxnfilmclub,2021-01-13
2021-01-15,Texas Chainsaw 3D,2013,https://boxd.it/1Ay3Qp,2,,,2021-01-14
2021-01-15,Climax,2018,https://boxd.it/1ABlAl,4,,,2021-01-14
2021-01-16,The American President,1995,https://boxd.it/1AHIML,3,,,2021-01-15
2021-01-16,Brokeback Mountain,2005,https://boxd.it/1AO7mb,4,Yes,,2021-01-15
2021-01-17,Black Box,2020,https://boxd.it/1AUTvn,4,,,2021-01-16
2021-01-17,In Bruges,2008,https://boxd.it/1AWyRL,5,,,2021-01-16
2021-01-18,I Don't Feel at Home in This World Anymore,2017,https://boxd.it/1B35Df,4,,,2021-01-17
2021-01-18,Thank You for Smoking,2005,https://boxd.it/1B6XAZ,3.5,,,2021-01-17
2021-01-19,Lady Bird,2017,https://boxd.it/1Bhtpf,4,Yes,,2021-01-18
2021-01-19,Circle,2015,https://boxd.it/1Bjegr,2,,,2021-01-18
2021-01-20,The Lovebirds,2020,https://boxd.it/1BrUaL,2.5,,,2021-01-19
2021-01-23,Archive,2020,https://boxd.it/1BNpg3,2.5,,,2021-01-22
2021-01-23,There Will Be Blood,2007,https://boxd.it/1BQ30X,4.5,,,2021-01-22
2021-01-24,The Beach Bum,2019,https://boxd.it/1BZYXF,3.5,,,2021-01-23
2021-03-03,McPherson's Toys,2019,https://boxd.it/1Hl5d7,2,,,2021-01-23
2021-01-26,When They See Us,2019,https://boxd.it/1CjX3r,4,,,2021-01-25
2021-01-27,Dragon Ball Z: Resurrection 'F',2015,https://boxd.it/1CozQz,2.5,,,2021-01-26
2021-01-29,His House,2020,https://boxd.it/1CFPft,4,,,2021-01-28
2021-01-30,Infinity Chamber,2016,https://boxd.it/1CJKlf,3,,,2021-01-29
2021-01-31,The Guest,2014,https://boxd.it/1CWWbd,3.5,,,2021-01-30
2021-02-01,Horse Girl,2020,https://boxd.it/1D4spP,3.5,,,2021-01-31
2021-02-01,mother!,2017,https://boxd.it/1D9ov5,3.5,,,2021-01-31
2021-02-03,Blow the Man Down,2019,https://boxd.it/1DlOSX,4,,,2021-02-01
2021-02-03,Groundhog Day,1993,https://boxd.it/1Dnkal,4.5,Yes,,2021-02-02
2021-02-03,Apostle,2018,https://boxd.it/1DqD1j,3.5,,,2021-02-02
2021-02-06,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/1DNCAD,5,Yes,"in theaters, imax, 4k",2021-02-05
2021-02-09,WandaVision,2021,https://boxd.it/1EjFql,4.5,,disney+,2021-02-08
2021-02-10,First Cow,2019,https://boxd.it/1EpKLZ,4.5,Yes,"jxnfilmclub, mattycakes",2021-02-09
2021-02-11,The Endless,2017,https://boxd.it/1Eu6i9,4,,,2021-02-10
2021-02-11,Only God Forgives,2013,https://boxd.it/1Exkwb,5,,,2021-02-10
2021-02-11,Across the Universe,2007,https://boxd.it/1ExXyP,3,Yes,,2021-02-11
2021-02-13,Resolution,2012,https://boxd.it/1EKRgV,4,,,2021-02-12
2021-02-13,Nomadland,2020,https://boxd.it/1EMiud,4,,"in theaters, imax",2021-02-12
2021-02-13,Beyond the Line,2020,https://boxd.it/1EMqtd,4,,magnoliaiff,2021-02-12
2021-02-13,Leave Me Be,2020,https://boxd.it/1EMqOb,3,,magnoliaiff,2021-02-12
2021-02-14,Death by Hanging,1968,https://boxd.it/1ERxof,5,,,2021-02-13
2021-02-14,The Butterfly Affect,2019,https://boxd.it/1EVlTt,2.5,,magnoliaiff,2021-02-13
2021-02-14,Harry Kiri,2019,https://boxd.it/1EVw97,5,,magnoliaiff,2021-02-13
2021-02-14,A Family That Steals Dogs,2020,https://boxd.it/1EVUaN,5,,magnoliaiff,2021-02-13
2021-02-14,Green Grass,2020,https://boxd.it/1EW2Vx,4,,magnoliaiff,2021-02-13
2021-02-14,Kapaemahu,2020,https://boxd.it/1EWcWF,4,,magnoliaiff,2021-02-13
2021-02-14,Let's Eat,2020,https://boxd.it/1EWlhL,3,,magnoliaiff,2021-02-13
2021-02-14,Benevolent Ba,2020,https://boxd.it/1EWqGV,5,,magnoliaiff,2021-02-13
2021-02-14,It's Okay,2020,https://boxd.it/1EXtXR,4,,magnoliaiff,2021-02-13
2021-02-14,The Quiet,2019,https://boxd.it/1EXClH,3.5,,magnoliaiff,2021-02-13
2021-02-15,The Pervert's Guide to Cinema,2005,https://boxd.it/1F3Zjh,,,,2021-02-14
2021-02-16,Beyond The Sky,2018,https://boxd.it/1FhkP5,2,,,2021-02-15
2021-02-17,Gabby!,2020,https://boxd.it/1Fm9yx,4,,magnoliaiff,2021-02-16
2021-02-17,Blocks,2020,https://boxd.it/1Fmoab,3.5,,magnoliaiff,2021-02-16
2021-02-17,Boys & Toys,2020,https://boxd.it/1FmzaV,2.5,,magnoliaiff,2021-02-16
2021-02-17,Dig Another Grave,2019,https://boxd.it/1Fo0hL,3,,magnoliaiff,2021-02-16
2021-02-17,Anna,2019,https://boxd.it/1Foyh1,3.5,,magnoliaiff,2021-02-16
2021-02-17,"1, 2, 3, All Eyes On Me",2020,https://boxd.it/1FoGe5,1.5,,magnoliaiff,2021-02-16
2021-02-17,Eucharist,2020,https://boxd.it/1FpqMd,3.5,,magnoliaiff,2021-02-16
2021-02-17,Minari,2020,https://boxd.it/1FpsmV,4.5,,a24 screening room,2021-02-16
2021-02-18,Gone,2020,https://boxd.it/1Fvxef,,,magnoliaiff,2021-02-17
