Date,Name,Year,Letterboxd URI
2020-05-22,12 Angry Men,1957,https://boxd.it/2auI
2020-06-03,The Social Network,2010,https://boxd.it/17ue
2020-06-05,Hot Rod,2007,https://boxd.it/1X9C
2020-06-06,The Last Black Man in San Francisco,2019,https://boxd.it/iWAw
2020-06-22,Mommie Dearest,1981,https://boxd.it/1LNq
2020-07-13,First Cow,2019,https://boxd.it/krga
2020-07-22,Millennium Actress,2001,https://boxd.it/1fK0
2020-07-23,Maniac,2018,https://boxd.it/jX9y
2020-07-27,Ghosts of Mississippi,1996,https://boxd.it/1i92
2020-08-08,Life,2015,https://boxd.it/9wym
2020-08-25,Boys State,2020,https://boxd.it/oiNW
2020-09-01,Tenet,2020,https://boxd.it/leq4
2020-09-06,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ
2020-09-10,#Alive,2020,https://boxd.it/mJl2
2020-09-16,The Social Dilemma,2020,https://boxd.it/opQI
2020-09-17,The Devil All the Time,2020,https://boxd.it/i2tY
2020-09-26,Good Time,2017,https://boxd.it/fcFu
2020-09-28,Safety Not Guaranteed,2012,https://boxd.it/2Y3M
2020-10-05,The Boys in the Band,2020,https://boxd.it/m176
2020-10-08,Fargo,1996,https://boxd.it/2aHM
2020-10-12,Helvetica,2007,https://boxd.it/1Qn8
2020-10-17,The Trial of the Chicago 7,2020,https://boxd.it/kn3w
2020-10-20,The Haunting of Bly Manor,2020,https://boxd.it/rUdS
2020-10-21,Hard Candy,2005,https://boxd.it/26vs
2020-10-22,Howl's Moving Castle,2004,https://boxd.it/23De
2020-10-23,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ
2020-10-24,The Shining,1980,https://boxd.it/29Nu
2020-10-28,"Yes, God, Yes",2019,https://boxd.it/jaGS
2020-10-30,The Disaster Artist,2017,https://boxd.it/cTqc
2020-10-30,Unorthodox,2020,https://boxd.it/pHfs
2020-10-31,Warcraft,2016,https://boxd.it/2czK
2020-10-31,Black Mirror: The Entire History of You,2011,https://boxd.it/hQZ4
2020-11-04,An American Pickle,2020,https://boxd.it/niWi
2020-11-13,Cool Hand Luke,1967,https://boxd.it/29jY
2020-11-13,It's a Wonderful Life,1946,https://boxd.it/28xA
2020-11-13,Braveheart,1995,https://boxd.it/2aTI
2020-11-15,"Best Wishes, Warmest Regards: A Schitt's Creek Farewell",2020,https://boxd.it/pNiM
2020-11-15,My Neighbor Totoro,1988,https://boxd.it/20eA
2020-11-16,Baby Driver,2017,https://boxd.it/bhF2
2020-11-16,3:10 to Yuma,2007,https://boxd.it/23g0
2020-11-17,Primer,2004,https://boxd.it/6YA
2020-11-18,Suspiria,2018,https://boxd.it/cioI
2020-11-18,Office Space,1999,https://boxd.it/28Em
2020-11-19,Locke,2013,https://boxd.it/6hHC
2020-11-20,Remember the Titans,2000,https://boxd.it/1VLk
2020-11-20,Clue,1985,https://boxd.it/1MDQ
2020-11-20,To Kill a Mockingbird,1962,https://boxd.it/2a2E
2020-11-20,Anastasia,1997,https://boxd.it/1YFk
2020-11-20,The Haunting of Hill House,2018,https://boxd.it/kfJ0
2020-11-21,If Anything Happens I Love You,2020,https://boxd.it/qIv4
2020-11-21,Hunt for the Wilderpeople,2016,https://boxd.it/cTgG
2020-11-27,The Christmas Chronicles,2018,https://boxd.it/ja7e
2020-11-30,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy
2020-12-06,Mank,2020,https://boxd.it/mIuC
2020-12-07,Blockers,2018,https://boxd.it/fxEW
2020-12-11,I Am Not Your Negro,2016,https://boxd.it/etXy
2020-12-14,Persona,1966,https://boxd.it/29B4
2020-12-16,Love,2015,https://boxd.it/9brE
2020-12-22,Lion,2016,https://boxd.it/b2La
2020-12-25,Ma Rainey's Black Bottom,2020,https://boxd.it/mLcm
2020-12-26,Devs,2020,https://boxd.it/ppHI
2020-12-28,Death to 2020,2020,https://boxd.it/t4EQ
2020-12-31,Free Solo,2018,https://boxd.it/iEEq
2021-01-02,1BR,2019,https://boxd.it/mBag
2021-01-08,The Peanut Butter Falcon,2019,https://boxd.it/gzu2
2021-01-09,The Cabin in the Woods,2011,https://boxd.it/1zOc
2021-01-10,Dick Johnson Is Dead,2020,https://boxd.it/oigy
2021-01-11,Thunder Road,2018,https://boxd.it/i8Hs
2021-01-11,Possessor,2020,https://boxd.it/fsJW
2021-01-12,The Pixar Story,2007,https://boxd.it/1Mtm
2021-01-13,Soul,2020,https://boxd.it/ioLA
2021-01-13,Aladdin,1992,https://boxd.it/29yE
2021-01-13,Hercules,1997,https://boxd.it/1SDW
2021-01-13,The Nightmare Before Christmas,1993,https://boxd.it/1YzQ
2021-01-13,Pirates of the Caribbean: Dead Man's Chest,2006,https://boxd.it/2bfk
2021-01-13,Pirates of the Caribbean: At World's End,2007,https://boxd.it/2aGu
2021-01-13,Good Burger,1997,https://boxd.it/1Nkg
2021-01-15,Texas Chainsaw 3D,2013,https://boxd.it/2E7O
2021-01-15,Climax,2018,https://boxd.it/ikvo
2021-01-15,"O Brother, Where Art Thou?",2000,https://boxd.it/2b3I
2021-01-16,The American President,1995,https://boxd.it/1Zce
2021-01-17,Black Box,2020,https://boxd.it/qPFK
2021-01-17,In Bruges,2008,https://boxd.it/20n8
2021-01-18,I Don't Feel at Home in This World Anymore,2017,https://boxd.it/f42u
2021-01-19,Thank You for Smoking,2005,https://boxd.it/1YOc
2021-01-19,Circle,2015,https://boxd.it/b5So
2021-01-20,The Lovebirds,2020,https://boxd.it/labE
2021-01-22,The Dark Knight Rises,2012,https://boxd.it/H3m
2021-01-22,Batman Begins,2005,https://boxd.it/2aIg
2021-01-23,Archive,2020,https://boxd.it/mnyy
2021-01-23,There Will Be Blood,2007,https://boxd.it/20Z2
2021-01-24,The Beach Bum,2019,https://boxd.it/fH4O
2021-01-26,When They See Us,2019,https://boxd.it/kbJU
2021-01-28,Aladdin,2019,https://boxd.it/eSjy
2021-01-28,Solo: A Star Wars Story,2018,https://boxd.it/bGWs
2021-01-28,Ready Player One,2018,https://boxd.it/aZes
2021-01-28,A Quiet Place,2018,https://boxd.it/fVJQ
2021-01-28,Game Night,2018,https://boxd.it/fRtu
2021-01-28,"Love, Simon",2018,https://boxd.it/g02s
2021-01-28,Black Panther,2018,https://boxd.it/8MHs
2021-01-28,Thor: Ragnarok,2017,https://boxd.it/8MHi
2021-01-28,mother!,2017,https://boxd.it/dgRU
2021-01-28,It,2017,https://boxd.it/bC8e
2021-01-28,Okja,2017,https://boxd.it/dvXe
2021-01-28,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC
2021-01-28,Zootopia,2016,https://boxd.it/84xS
2021-01-28,Star Wars: The Force Awakens,2015,https://boxd.it/4vru
2021-01-28,Star Wars: The Last Jedi,2017,https://boxd.it/5xme
2021-01-28,Big Hero 6,2014,https://boxd.it/5rje
2021-01-28,Frozen,2013,https://boxd.it/3GNa
2021-01-28,The Avengers,2012,https://boxd.it/1xFW
2021-01-28,The Hunger Games,2012,https://boxd.it/2uds
2021-01-28,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk
2021-01-28,Thor,2011,https://boxd.it/1WQU
2021-01-28,Iron Man,2008,https://boxd.it/28dA
2021-01-28,V for Vendetta,2005,https://boxd.it/29Ik
2021-01-28,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US
2021-01-28,National Treasure,2004,https://boxd.it/27x0
2021-01-28,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy
2021-01-28,Shaun of the Dead,2004,https://boxd.it/29J8
2021-01-28,Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://boxd.it/70G
2021-01-28,Finding Nemo,2003,https://boxd.it/72i
2021-01-28,Catch Me If You Can,2002,https://boxd.it/29VS
2021-01-28,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI
2021-01-28,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2
2021-01-28,Spider-Man,2002,https://boxd.it/2a8i
2021-01-28,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS
2021-01-28,"Monsters, Inc.",2001,https://boxd.it/2a46
2021-01-28,Shrek,2001,https://boxd.it/29zi
2021-01-28,Donnie Darko,2001,https://boxd.it/2b2A
2021-01-28,Gladiator,2000,https://boxd.it/2b9m
2021-01-28,Toy Story 2,1999,https://boxd.it/29qq
2021-01-28,The Sixth Sense,1999,https://boxd.it/29Js
2021-01-28,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc
2021-01-28,The Matrix,1999,https://boxd.it/2a1m
2021-01-28,Ever After,1998,https://boxd.it/1YDI
2021-01-28,Saving Private Ryan,1998,https://boxd.it/29ro
2021-01-28,Mulan,1998,https://boxd.it/1VFw
2021-01-28,Good Will Hunting,1997,https://boxd.it/2ahY
2021-01-28,Titanic,1997,https://boxd.it/2a2k
2021-01-28,Gattaca,1997,https://boxd.it/29Du
2021-01-28,Toy Story,1995,https://boxd.it/29qA
2021-01-28,Schindler's List,1993,https://boxd.it/2aq2
2021-01-28,Free Willy,1993,https://boxd.it/28qO
