Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-03-24,The History of Time Travel,2014,https://boxd.it/1Kbu6H,2,,Even now; I just don’t like documentaries.,,2021-03-23
2022-04-14,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/2KF6oZ,3,Yes,"watched with josh, tim, aaron, jamie, rick, and reese ","television at a bar, max",2022-04-13
2023-11-27,Midsommar,2019,https://boxd.it/5e4O13,5,Yes,"I asked Sam Graef when I could ask him to watch this and two years ago he said, ""In two years,"" and I got that reminder today. We're not friends anymore so it's not going to happen. ",youtube,2023-11-26
2024-03-02,Dune: Part Two,2024,https://boxd.it/5XhrJR,5,Yes,I cried at the destruction of Sietch Tabr,"imax, in theaters",2024-03-02
2026-02-15,"Dr. Mabuse, the Gambler",1922,https://boxd.it/d87uFN,3.5,,"I enjoyed a projection of this film at Kinonik in Portland, ME, with my friends Mallory and Madison",,2026-02-14
